id,Address,found_address,coordinates
1249,"ռոստովյան փողոց 19, երևան","Armenia, Yerevan, Rostovyan Street, 19","40.150798,44.518951"
1258,"ծատուրյան փողոց, երևան","Armenia, Yerevan, ulitsa Tsaturyana","40.163432,44.517936"
1260,"մարշալ բաղրամյան պողոտա, երևան","Armenia, Yerevan, Baghramyan Avenue","40.192249,44.504093"
1266,"ամիրյան փողոց 4/6, երևան","Armenia, Yerevan, Amiryan Street, 4/6","40.179558,44.510229"
1272,"կուրղինյանի փողոց, երևան","Armenia, Yerevan, Kurghinyan Street","40.168215,44.467271"
1273,"չեխովի փողոց 47/3, երևան","Armenia, Yerevan, Chekhov Street, 47","40.149185,44.473083"
1277,"chekhov street, երևան","Armenia, Yerevan, Chekhov Street","40.152549,44.479866"
1281,"shirak street 12, երևան","Armenia, Yerevan, Shirak Street, 12","40.143284,44.46437"
1288,"պարույր սևակի փողոց 5/3, երևան","Armenia, Yerevan, Paruyr Sevak Street, 5/3","40.20949,44.536019"
1291,"սուրբ գրիգոր լուսավորչի փողոց 17, երևան","Armenia, Yerevan, Surb Grigor Lusavorich Street, 17","40.176678,44.503473"
1303,"դավթաշենի 4-րդ զանգված 65, երևան","Armenia, Yerevan, Davtashen 4th Street","40.213002,44.479794"
1305,"իսրայելյան փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794"
1311,"վարդաշենի 6-րդ փողոց, երևան","Armenia, Yerevan, Vardashen 6th Street","40.145573,44.541364"
1314,"arshakuniants avenue, երևան","Armenia, Yerevan","40.177642,44.512519"
1319,"լենինգրադյան փողոց 27, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 27","40.190981,44.470775"
1325,"սողոմոն տարոնցի փողոց 1, երևան","Armenia, Yerevan, Soghomon Taronts Street, 1","40.146669,44.486558"
1327,"դերենիկ դեմիրճյան փողոց 17a, երևան","Armenia, Yerevan, Derenik Demirchyan Street, 17A","40.187874,44.508459"
1329,"սարի թաղ 14-րդ փողոց 2, երևան","Armenia, Yerevan, Sari Tagh 14th Street, 2","40.163412,44.528411"
1333,"ֆուչիկի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Fuchik Street 2nd Lane","40.20347,44.474979"
1337,"դերենիկ դեմիրճյան փողոց, երևան","Armenia, Yerevan, Derenik Demirchyan Street","40.189321,44.507588"
1338,"լվովյան փողոց 2, երևան","Armenia, Yerevan, Lvovyan Street, 2","40.203215,44.564397"
1339,"karapet ulnetsi street, երևան","Armenia, Yerevan, Karapet Ulnetsi Street","40.203869,44.534879"
1341,"ազատության 2-րդ նրբանցք, երևան","Armenia, Yerevan, 2nd Azatutyan Backstreet","40.200067,44.522356"
1344,"գորգագործների փողոց, երևան","Armenia, Yerevan, Gorgagortsner Street","40.144573,44.493538"
1357,"շինարարների փողոց 23/1, երևան","Armenia, Yerevan, Shinararner Street, 23/1","40.196589,44.472994"
1363,"улица маргаряна, ереван","Armenia, Yerevan, Margaryan Street","40.205082,44.475769"
1364,"մոնթե մելքոնյան պողոտա, երևան","Armenia, Yerevan, Monte Melkonyan Street","40.178255,44.480521"
1368,"կոմիտասի պողոտա 12, երևան","Armenia, Yerevan, Komitas Avenue, 12","40.201245,44.49573"
1373,"լեոնիդ ազգալդյան փողոց, երևան","Armenia, Yerevan, Leonid Azgaldyan Street","40.196478,44.509789"
1378,"մոնթե մելքոնյան փողոց 52/1, երևան","Armenia, Yerevan, Monte Melkonyan Street, 52/1","40.186827,44.47691"
1382,"հանրապետության փողոցի 2-րդ նրբանցք 17, երևան","Armenia, Yerevan, Hanrapetutyan Street 2nd Lane, 17","40.179268,44.519374"
1394,"մոնթե մելքոնյան փողոց , երևան","Armenia, Yerevan, Monte Melkonyan Street","40.178255,44.480521"
1395,"մանանդյան փողոց 9a, երևան","Armenia, Yerevan, Manandyan Street, 9A","40.153321,44.48725"
1401,"մարգարյան փողոցի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Margaryan Street 2nd Lane","40.207238,44.471098"
1410,"բաղրամյան պողոտա 2, երևան","Armenia, Yerevan, Baghramyan Avenue, 2","40.188914,44.514109"
1413,"ալեք մանուկյան փողոց, երևան","Armenia, Yerevan, Alek Manukyan Street","40.177828,44.524386"
1414,"մուրացանի փողոց, երևան","Armenia, Yerevan, Muratsan Street","40.146152,44.515879"
1415,"մարշալ բաղրամյան պողոտա 45, երևան","Armenia, Yerevan, Baghramyan Avenue, 45","40.192242,44.500015"
1418,"ազատամարտիկների պողոտա 80, երևան","Armenia, Yerevan, The Administrative District of Erebuni, Azatamartikner Avenue, 80","40.145518,44.521557"
1419,"րաֆֆու փողոց 31, երևան","Armenia, Yerevan, Raffi Street, 31","40.173832,44.449278"
1421,"կոմիտասի պողոտա 36, երևան","Armenia, Yerevan, Komitas Avenue, 36","40.205109,44.505117"
1430,"շոպրոն փողոցի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Shopron Street 2nd Lane","40.186668,44.560921"
1438,"ավան-առինջ 2-րդ միկրոշրջան 1/18, երևան","Armenia, Yerevan, The Administrative District of Avan, Avan-Arinj 2nd microdistrict, 1/18","40.225039,44.573587"
1453,"առնո բաբաջանյան փողոց 113, երևան","Armenia, Yerevan, Arno Babajanyan Street, 113","40.163632,44.441813"
1470,"տերյան փողոց 3, երևան","Armenia, Yerevan, Teryan Street, 3","40.181563,44.512699"
1471,"սիսակյան փողոց 16, երևան","Armenia, Yerevan, Sisakyan Street, 16","40.194267,44.469113"
1473,"վերին անտառային փողոց 135, երևան","Armenia, Yerevan, Verin Antarayin Street, 135","40.196692,44.512142"
1475,"բրյուսովի փողոց 164, երևան","Armenia, Yerevan, Bryusov Street, 165","40.16641,44.502467"
1476,"հրաչյա քոչարի փողոց 12, երևան","Armenia, Yerevan, Hrachya Kochar Street, 12","40.199351,44.497491"
1497,"արգիշտիի փողոց , երևան","Armenia, Yerevan, Argishti Street","40.174031,44.503159"
1498,"մոլդովական փողոց 29/6, երևան","Armenia, Yerevan, Moldovakan Street, 29/6","40.206631,44.571108"
1500,"david-bek street, երևան","Armenia, Yerevan, David-Bek Street","40.165838,44.542667"
1503,"գրիգոր հասրաթյան փողոց, երևան","Armenia, Yerevan, Grigor Hasratyan Street","40.195562,44.462591"
1512,"ծարավ աղբյուրի փողոց 59, երևան","Armenia, Yerevan, Tsarav Akhpyur Street, 59","40.216025,44.551228"
1519,"լուսինե զաքարյան փողոց, երևան","Armenia, Yerevan, Lusine Zakaryan Street","40.178931,44.541894"
1520,"komitas ave 38/3, yerevan","Armenia, Yerevan, Komitas Avenue, 38/3","40.20586,44.506968"
1533,"մանանդյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794"
1534,"չարենցի փողոց 25, երևան","Armenia, Yerevan, Charents Street, 25","40.180784,44.528177"
1540,"եղբայրության փողոց, երևան","Armenia, Yerevan, Yeghbayrutyan Street","40.152397,44.48345"
1547,"antarayin street, yerevan","Armenia, Yerevan, Antarayin Street","40.192076,44.514837"
1548,"աջափնյակ վարչական շրջան, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak","40.200439,44.461845"
1553,"նալբանդյան փողոց 25/14, երևան","Armenia, Yerevan, Nalbandyan Street, 25/14","40.181956,44.520326"
1554,"դավթաշենի 2-րդ փողոց, երևան","Armenia, Yerevan, Paris Herouni Street","40.215936,44.482677"
1556,"կուրղինյան փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794"
1559,"սերո խանզադյանի փողոց 1-ին նրբանցք, երևան","Armenia, Yerevan, Norq Street, 1st Lane","40.190947,44.541625"
1562,"զավարյան փողոց 8, երևան","Armenia, Yerevan, Zavaryan Street, 8","40.166196,44.512322"
1565,"արցախ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Erebuni, Artsakh district","40.141209,44.513472"
1594,"կոմիտասի պողոտա 37, երևան","Armenia, Yerevan, Komitas Avenue, 37","40.207244,44.510166"
1599,"սարյան փողոց 20/1, երևան","Armenia, Yerevan, Saryan Street, 20/1","40.185545,44.505953"
1600,"կորյուն փողոցի 1-ին անցուղի, երևան","Armenia, Yerevan, Koryun Street 1st Lane","40.186158,44.524503"
1601,"հրաչյա աճառյան փողոցի 2-րդ փակուղի, երևան","Armenia, Yerevan, High Park Yerevan Residential Complex","40.222216,44.551443"
1604,"սեբաստիայի փողոց 122, երևան","Armenia, Yerevan, Sebastia Street, 122","40.166644,44.457174"
1605,"նելսոն ստեփանյան փողոց 16/1, երևան","Armenia, Yerevan, Nelson Stepanyan Street, 16/1","40.200171,44.57338"
1606,"արամ խաչատրյան փողոց 3, երևան","Armenia, Yerevan, Aram Khachatryan Street, 3","40.203208,44.491867"
1609,"լենինգրադյան փողոց 19/9, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 19/9","40.19054,44.468574"
1611,"իսահակյան փողոց, երևան","Armenia, Yerevan, Isahakyan Street","40.188205,44.520137"
1612,"լենինգրադյան փողոց 29/17, yerevan","Armenia, Yerevan, Kirk Kerkorian Street, 29/17","40.187908,44.469787"
1613,"սվետլանա գրիգորյան փողոց, երևան","Armenia, Yerevan, Svetlana Grigoryan Street","40.200928,44.514074"
1615,"բագրևանդի փողոց 4/3, երևան","Armenia, Yerevan, Bagrevand Street, 4/3","40.206521,44.574925"
1618,"եզնիկ կողբացու փողոց 83, երևան","Armenia, Yerevan, Yeznik Koghbatsi Street, 83","40.184284,44.513813"
1622,"ֆուչիկի փողոց, 1-ին նրբանցք, երևան","Armenia, Yerevan, Fuchik Street 1st Lane","40.200253,44.474925"
1637,"մելիք մելիքյան փողոց 2/2, երևան","Armenia, Yerevan, Meliq Meliqyan Street, 2","40.227821,44.546655"
1640,"վերին անտառային փողոց 186/11, երևան","Armenia, Yerevan, Verin Antarayin Street, 186/11","40.196843,44.50872"
1641,"հայրիկ մուրադյան փողոց, երևան","Armenia, Yerevan, Hayrik Muradyan Street","40.203704,44.513049"
1651,"komitas avenu, երևան","Armenia, Yerevan, Komitas Avenue","40.206239,44.50721"
1653,"hrachya qochar street, երևան","Armenia, Yerevan","40.177642,44.512519"
1668,"ալեքսանդր մյասնիկյան պողոտա, երևան","Armenia, Yerevan, Myasnikyan Avenue","40.196809,44.548533"
1672,"ավանեսովի փողոց, 3-րդ նրբանցք, երևան","Armenia, Yerevan, Avanesov Street 3rd Lane","40.129991,44.526866"
1680,"գայի պողոտա 3, երևան","Armenia, Yerevan, Gai Avenue, 3","40.203477,44.565556"
1681,"դավթաշեն 1-ին թաղամաս 7, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 1st Block, 7","40.218594,44.487591"
1690,"լենինգրադյան փողոց 29/17, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 29/17","40.187908,44.469787"
1694,"gayi avenue 1, yerevan","Armenia, Yerevan","40.177642,44.512519"
1699,"մամիկոնյանց փողոց 23, երևան","Armenia, Yerevan, Mamikonyants Street, 23","40.208877,44.521808"
1710,"բադալ մուրադյանի փողոց 3, երևան","Armenia, Yerevan, Badal Muradyan Street, 3","40.186324,44.56437"
1717,"բադալ մուրադյանի փողոց 10, երևան","Armenia, Yerevan, Badal Muradyan Street, 10","40.186434,44.562672"
1722,"ավանեսովի փողոց 8, երևան","Armenia, Yerevan, Avanesov Street, 8","40.131508,44.528186"
1728,"լյուքսեմբուրգ փողոցի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Lyuksemburg Street 2nd Lane","40.189507,44.562187"
1731,"աղբյուր սերոբի փողոց 52/6, երևան","Armenia, Yerevan, Aghbyur Serob Street, 52/6","40.198207,44.508684"
1734,"աճառյան փողոց 18m, երևան","Armenia, Yerevan, Acharyan Street, 18M","40.217003,44.56446"
1738,"griboyedov street, yerevan","Armenia, Yerevan, Griboyedov Street","40.209627,44.514083"
1742,"աշոտ հովհաննիսյանի փողոց 10, երևան","Armenia, Yerevan, Ashot Hovhannisyan Street, 10","40.192621,44.571781"
1757,"վարուժան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Varujan District","40.215371,44.576776"
1766,"հրաչյա քոչարի փողոց 23, երևան","Armenia, Yerevan, Hrachya Kochar Street, 23","40.201844,44.502261"
1769,"գարեգին նժդեհ փողոց, երևան","Armenia, Yerevan, Garegin Nzhdeh Street","40.152046,44.497006"
1776,"կարապետ ուլնեցու 2-րդ փակուղի, երևան","Armenia, Yerevan, Karapet Ulnetsu Street 2nd Deadlock","40.208773,44.539038"
1784,"մանթաշյան փողոց, երևան","Armenia, Yerevan, Mantashyan Street","40.152122,44.486864"
1799,"arshakuniats avenue, երևան","Armenia, Yerevan","40.177642,44.512519"
1802,"շիրակի փողոցի 4-րդ նրբանցք 7, երևան","Armenia, Yerevan, Shirak Street 4th Lane, 7","40.146972,44.456384"
1806,"գյուլիքեխվյան փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794"
1811,"ճառագայթային փողոց, երևան","Armenia, Yerevan, Charagaytain Street","40.167188,44.446278"
1828,"պարոնյան փողոց 42, երևան","Armenia, Yerevan, Paronyan Street, 42","40.184774,44.502647"
1830,"կասյան փողոց, երևան","Armenia, Yerevan, Vazgen the First Vehapar Street","40.19973,44.493879"
1833,"տարոնցի փողոց, երևան","Armenia, Yerevan, Soghomon Taronts Street","40.145917,44.485166"
1834,"անաստաս միկոյան փողոց 4, երևան","Armenia, Yerevan, Anastas Mikoyan Street, 4","40.210661,44.486163"
1837,"գալշոյան փողոց 1, երևան","Armenia, Yerevan, Galshoyan Street, 1","40.183527,44.572087"
1860,"բնակելի համալիր բյուրեղ, երևան","Armenia, Yerevan, The Administrative District of Kentron, Byuregh Residential Complex","40.167085,44.504273"
1863,"կարախանյան փողոց, երևան","Armenia, Yerevan, Karakhanyan Street","40.177243,44.563957"
1864,"կոմիտասի պողոտա 32, երևան","Armenia, Yerevan, Komitas Avenue, 32","40.204262,44.503015"
1873,"կոմիտասի պողոտա 43/1, երևան","Armenia, Yerevan, Komitas Avenue, 43/1","40.207134,44.513049"
1878,"դուրյան փողոց, երևան","Armenia, Yerevan, Duryan Street","40.184904,44.544392"
1886,"մինաս ավետիսյանի 2-րդ փողոց 15, երևան","Armenia, Yerevan, Minas Avetisyan 2nd Street, 15","40.205667,44.542676"
1901,"վերին շենգավիթի 11-րդ փողոց, երևան","Armenia, Yerevan, Verin Shengavit 11th Street","40.149371,44.489325"
1902,"ազատամարտիկների պողոտա 78/2, երևան","Armenia, Yerevan, The Administrative District of Erebuni, Azatamartikner Avenue, 78/2","40.144821,44.521871"
1910,"շիրակի փողոցի 4-րդ նրբանցք, երևան","Armenia, Yerevan, Shirak Street 4th Lane","40.145773,44.453949"
1916,"երվանդ քոչարի փողոց 21/1, երևան","Armenia, Yerevan, Yervand Kochar Street, 21/1","40.168133,44.517613"
1929,"ազատության պողոտա , երևան","Armenia, Yerevan, Azatutyan Avenue","40.203553,44.523838"
1930,"շոպրոն փողոցի 3-րդ նրբանցք, երևան","Armenia, Yerevan, Shopron Street 3rd Lane","40.187288,44.559834"
1931,"moldovakan street, երևան","Armenia, Yerevan, Moldovakan Street","40.19871,44.568511"
1940,"նալբանդյան փողոց 31, երևան","Armenia, Yerevan, Nalbandyan Street, 31","40.183092,44.521161"
1942,"բյուզանդի փողոց, երևան","Armenia, Yerevan, Elen Byuzand Street","40.202423,44.519526"
1962,"հրաչյա քոչարի փողոց 10, երևան","Armenia, Yerevan, Hrachya Kochar Street, 10","40.19871,44.495937"
1964,"նաիրի զարյան փողոց 34, երևան","Armenia, Yerevan, Nairi Zaryan Street, 34","40.20429,44.511441"
1967,"ռաֆայել իսրաելյան փողոց 37, երևան","Armenia, Yerevan, Rafael Israyelyan Street, 37","40.177994,44.50147"
1969,"մամիկոնյանց փողոց 62, երևան","Armenia, Yerevan, Mamikonyants Street, 62","40.209917,44.507112"
1971,"նիկողայոս տիգրանյան փողոց , երևան","Armenia, Yerevan, Nikoghayos Tigranyan Street","40.208718,44.52047"
1974,"ադոնցի փողոց 2/5, երևան","Armenia, Yerevan, Adonts Street, 2/5","40.21252,44.526057"
1982,"մանուշյան փողոց, երևան","Armenia, Yerevan, Manushyan Street","40.206618,44.498299"
1984,"hanrapetutyan street, yerevan","Armenia, Yerevan, Hanrapetutyan Street","40.177801,44.518736"
1985,"այգեձորի փողոցի 1-ին նրբանցք 22, երևան","Armenia, Yerevan, Aygedzor Street 1st Lane, 22","40.19085,44.500114"
1995,"ֆրունզեի փողոց 16, երևան","Armenia, Yerevan, Frunze Street, 16","40.147455,44.494068"
2003,"վիլնյուսի փողոց 30/2, երևան","Armenia, Yerevan, Vilnius Street, 30/2","40.173659,44.566526"
2009,"գյուրջյան փողոց 17, երևան","Armenia, Yerevan, Gyurjyan Street, 17","40.191112,44.560382"
2013,"մառի փողոց 14, երևան","Armenia, Yerevan, Mar Street, 14","40.184278,44.569562"
2015,"արամի փողոց 74, երևան","Armenia, Yerevan, Aram Street, 74","40.183919,44.508217"
2025,"արամի փողոց 82-84, երևան","Armenia, Yerevan, Aram Street, 82-84","40.184215,44.50774"
2030,"ծովակալ իսակովի պողոտա 50/2, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 50/2","40.161061,44.432911"
2034,"կոմիտասի պողոտա 55, երևան","Armenia, Yerevan, Komitas Avenue, 55","40.206735,44.519859"
2035,"հովհաննիսյան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Hovannisyan District","40.217506,44.579678"
2038,"աբովյան փողոց 26b, երևան","Armenia, Yerevan, Abovyan Street, 26B","40.183885,44.521188"
2040,"տիգրան մեծի պողոտա 36, երևան","Armenia, Yerevan, Tigran Mets Avenue, 36","40.164197,44.512663"
2041,"նար-դոս փողոցի 1-ին նրբանցք, երևան","Armenia, Yerevan, Nar-Dos Street 1st Lane","40.164197,44.513795"
2043,"viktor hambardzumyan street, yerevan","Armenia, Yerevan, Viktor Hambardzumyan Street","40.197236,44.500635"
2045,"շարուրի փողոց 13, երևան","Armenia, Yerevan, Sharuri Street, 13","40.141161,44.463597"
2049,"վարդանանց փողոց 1, երևան","Armenia, Yerevan, Vardanants Street, 5","40.179206,44.517622"
2054,"շիրակի փողոց 20, երևան","Armenia, Yerevan, Shirak Street, 20","40.145345,44.461729"
2056,"վրացական փողոց 21, երևան","Armenia, Yerevan, Vratsakan Street, 21","40.208973,44.510992"
2058,"ազատության 2-րդ նրբանցք 10, երևան","Armenia, Yerevan, 2nd Azatutyan Backstreet, 10","40.199296,44.52188"
2060,"այգեստան 11-րդ փողոց 69, երևան","Armenia, Yerevan, Gevorg Jahukyan Street, 69","40.187585,44.528069"
2065,"հին երևանցու փողոց 2, երևան","Armenia, Yerevan, Hin Yerevantsu Street, 2","40.182638,44.515691"
2066,"թոթովենցի փողոց 10, երևան","Armenia, Yerevan, Totovents Street, 10","40.204675,44.570443"
2078,"մոսկովյան փողոց 31, երևան","Armenia, Yerevan, Moskovyan Street, 31","40.187309,44.513508"
2081,"զաքարիա քանաքեռցու փողոց 147/1, երևան","Armenia, Yerevan, Zakaria Kanakertsi Street, 147/1","40.231106,44.551381"
2082,"shinararneri street, yerevan","Armenia, Yerevan, Shinararner Street","40.195238,44.473892"
2086,"այգեձորի փողոց 78/1, երևան","Armenia, Yerevan, Aygedzor Street, 78/1","40.19178,44.493179"
2090,"առնո բաբաջանյան փողոց 9, երևան","Armenia, Yerevan, Arno Babajanyan Street, 9","40.171234,44.438929"
2106,"հյուսիսային պողոտա 10, երևան","Armenia, Yerevan, Northern Avenue, 10","40.181942,44.514118"
2107,"մելքումով փողոց, երևան","Armenia, Yerevan, Melkumov Street","40.214841,44.47126"
2108,"շարուրի փողոց 24/2, երևան","Armenia, Yerevan, Sharuri Street, 24/2","40.141333,44.460696"
2118,"կոմիտասի պողոտա 15, երևան","Armenia, Yerevan, Komitas Avenue, 15","40.203484,44.499404"
2136,"տիգրան պետրոսյան փողոց 1a, երևան","Armenia, Yerevan, Tigran Petrosyan Street, 1A","40.224936,44.498847"
2139,"ծովակալ իսակովի պողոտա 4/1, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 4/1","40.172826,44.492415"
2140,"սասունցի դավթի փողոց 70/1, երևան","Armenia, Yerevan, Sasuntsi Davit Street, 70/1","40.153948,44.520622"
2146,"սիմոն վրացյան փողոց, երևան","Armenia, Yerevan, Simon Vratsyan Street","40.171434,44.52144"
2151,"կարախանյան փողոց 19, երևան","Armenia, Yerevan, Karakhanyan Street, 19","40.178772,44.562502"
2152,"ռաֆայել իսրաելյան փողոց, երևան","Armenia, Yerevan, Rafael Israyelyan Street","40.177318,44.501587"
2172,"նուբարաշենի 11-րդ փողոց 5, երևան","Armenia, Yerevan, Nubarashen 11th Street, 5","40.083658,44.544814"
2178,"улица агатангехоса, ереван","Armenia, Yerevan, Agatangeghos Street","40.172364,44.511325"
2183,"երվանդ քոչարի փողոց 15, երևան","Armenia, Yerevan, Yervand Kochar Street, 15","40.169063,44.518152"
2186,"արամ խաչատրյան փողոց 23, երևան","Armenia, Yerevan, Aram Khachatryan Street, 23","40.207231,44.501937"
2188,"մամիկոնյանց փողոց 19, երևան","Armenia, Yerevan, Mamikonyants Street, 19","40.20878,44.523353"
2190,"լյուքսեմբուրգ փողոցի 1-ին նրբանցք, երևան","Armenia, Yerevan, Lyuksemburg Street 1st Lane","40.189217,44.563319"
2193,"տիգրան մեծ պողոտայի 1-ին փակուղի, երևան","Armenia, Yerevan, Tigran Mets Avenue 1st Blind Alley","40.159352,44.510022"
2205,"արաբկիր վարչական շրջան , երևան","Armenia, Yerevan, The Administrative District of Arabkir","40.207286,44.50942"
2208,"սասնա ծռերի փողոց 3, երևան","Armenia, Yerevan, Sasna Tsrer Street, 3","40.21345,44.488777"
2211,"հանրապետության փողոց 62, երևան","Armenia, Yerevan, Hanrapetutyan Street, 62","40.177808,44.519158"
2214,"բաղյան 1-ին նրբանցք, երևան","Armenia, Yerevan, Baghyan Street 1st Lane","40.193819,44.567595"
2218,"թումանյան փողոց 13, երևան","Armenia, Yerevan, Tumanyan Street, 13","40.18066,44.52117"
2220,"խաղաղ դոնի փողոց 19, երևան","Armenia, Yerevan, Khaghagh Doni Street, 19","40.128095,44.525904"
2228,"դավթաշենի 4-րդ զանգված, երևան","Armenia, Yerevan, Davtashen 4th Street","40.213002,44.479794"
2231,"տիգրան մեծի պողոտա 12, երևան","Armenia, Yerevan, Tigran Mets Avenue, 12","40.173928,44.51349"
2233,"թբիլիսյան խճուղի 2a, երևան","Armenia, Yerevan, Tbilisyan Highway, 2A","40.225687,44.536307"
2251,"բրյուսով թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Bryusov District","40.215309,44.580567"
2265,"վերին անտառային փողոց 140/3, երևան","Armenia, Yerevan, Verin Antarayin Street, 140/3","40.197656,44.508154"
2269,"մինաս ավետիսյանի փողոց, երևան","Armenia, Yerevan, Minas Avetiyan Street","40.206487,44.545146"
2272,"վահրամ արիստակեսյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794"
2274,"ադմիրալ իսակովի պողոտա 50/3, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 50/3","40.161323,44.432399"
2282,"սայաթ-նովայի պողոտա 23, երևան","Armenia, Yerevan, Sayat-Nova Avenue, 23","40.182775,44.520461"
2286,"ամիրյան փողոց 7, երևան","Armenia, Yerevan, Amiryan Street, 7","40.179399,44.509555"
2289,"հանրապետության փողոց 58, երևան","Armenia, Yerevan, Hanrapetutyan Street, 58","40.177222,44.517784"
2295,"արմեն թախտաջյան փողոց 3, երևան","Armenia, Yerevan, Armen Takhtajian Street, 3","40.174631,44.523982"
2300,"lvovyan street 10, yerevan","Armenia, Yerevan, Lvovyan Street, 10","40.203704,44.563355"
2302,"միքայելյան փողոց, երևան","Armenia, Yerevan, Mikaelyan Street","40.172371,44.455971"
2310,"արամ խաչատրյան փողոց 26/1, երևան","Armenia, Yerevan, Aram Khachatryan Street, 26/1","40.206328,44.502979"
2312,"մինսկի փողոց 21/23, երևան","Armenia, Yerevan, Minsk Street, 21-23","40.177511,44.576911"
2319,"leningradyan street, երևան","Armenia, Yerevan, Kirk Kerkorian Street","40.191236,44.471044"
2322,"улица давида анахта, ереван","Armenia, Yerevan, Davit Anhaght Street","40.202168,44.532291"
2333,"կոմիտասի պողոտա 35, երևան","Armenia, Yerevan, Komitas Avenue, 35","40.206514,44.506905"
2337,"պարույր սևակի փողոց 51/2, երևան","Armenia, Yerevan, Paruyr Sevak Street, 51/2","40.203408,44.544257"
2355,"խորեն աբրահամյան փողոց, երևան","Armenia, Yerevan, Khoren Abrahamyan Street","40.180929,44.505944"
2356,"շիրակի փողոց b2a, երևան","Armenia, Yerevan, Shirak Street, 2A","40.140188,44.469122"
2361,"քրիստափորի փողոց 9, երևան","Armenia, Yerevan, Kristapor Street, 9","40.163425,44.514011"
2369,"վարդանանց փողոց 5a, երևան","Armenia, Yerevan, Vardanants Street, 5A","40.179179,44.518403"
2374,"կարապետ ուլնեցու փողոց 3-րդ փակուղի, երևան","Armenia, Yerevan, Karapet Ulnetsi Street","40.203869,44.534879"
2381,"գեներալ նվեր սաֆարյանի փողոց, երևան","Armenia, Yerevan, Nver Safaryan Street","40.211459,44.581294"
2390,"sundukyan st, yerevan","Armenia, Yerevan, Sundukyan Street","40.199006,44.49926"
2393,"ազատության պողոտա 3/1, երևան","Armenia, Yerevan, Azatutyan Avenue, 3/1","40.200412,44.519949"
2398,"azatutyan avenue, երևան","Armenia, Yerevan, Azatutyan Avenue","40.203553,44.523838"
2405,"շիրակի փողոցի 5-րդ նրբանցք 1, երևան","Armenia, Yerevan, Shirak Street 5th Lane, 1","40.140299,44.434573"
2416,"տաշքենդի փողոց, երևան","Armenia, Yerevan, Tashkent Street","40.221493,44.571916"
2424,"երվանդ քոչարի փողոց 5, երևան","Armenia, Yerevan, Yervand Kochar Street, 5","40.171992,44.519454"
2428,"վարդանանց փողոց 18/2, երևան","Armenia, Yerevan, Vardanants Street, 18/2","40.175417,44.519886"
2430,"աթոյան փողոցի նրբանցք, երևան","Armenia, Yerevan, Atoyan Street Lane","40.145807,44.520218"
2443,"քոչարյան փողոց, երևան","Armenia, Yerevan, Kocharyan Street","40.191711,44.564514"
2460,"զորավար անդրանիկի փողոց 137, երևան","Armenia, Yerevan, Zoravar Andranik Street, 137","40.165803,44.443735"
2462,"շահսուվարյան փողոց 8a, երևան","Armenia, Yerevan, Shahsuvaryan Street, 8A","40.207926,44.524081"
2468,"улица ширванзаде, ереван","Armenia, Yerevan, Shirvanzade Street","40.20878,44.52524"
2470,"խորենացու փողոց 17, երևան","Armenia, Yerevan, Khorenatsi Street, 17","40.174479,44.510283"
2492,"ծերենցի փողոց, երևան","Armenia, Yerevan, Tserents Street","40.166899,44.454713"
2495,"արցախի պողոտա 4, երևան","Armenia, Yerevan, Artsakh Avenue, 4","40.15401,44.509959"
2498,"հրաչյա աճառյան փողոց, երևան","Armenia, Yerevan, Acharyan Street","40.223249,44.56022"
2503,"կուրղինյան փողոցի նրբանցք, երևան","Armenia, Yerevan, Kurghinyan Street Lane","40.169876,44.467056"
2507,"yeznik koghbaci street, երևան","Armenia, Yerevan","40.177642,44.512519"
2509,"վերին անտառային փողոց 138/3, երևան","Armenia, Yerevan, Verin Antarayin Street, 138/3","40.19725,44.511576"
2515,"դավթաշենի 2-րդ փողոց 11, երևան","Armenia, Yerevan, Paris Herouni Street, 11","40.213161,44.479731"
2517,"նազարբեկյան թաղամաս 15, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak, Nazarbekyan Quarter, 15","40.21292,44.460785"
