id,Address,found_address,coordinates
62,"ռոստոմի փողոց 29, երևան","Armenia, Yerevan, Rostom Street, 29","40.167368,44.518296"
63,"ռուբեն սևակի փողոց, երևան","Armenia, Yerevan, Ruben Sevak Street","40.201507,44.508962"
64,"շինարարների փողոց, երևան","Armenia, Yerevan, Shinararner Street","40.195238,44.473892"
65,"նարեկացու թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Narekatsi District","40.219634,44.580639"
66,"բաղրամյան պողոտա 56, երևան","Armenia, Yerevan, Baghramyan Avenue, 56","40.193289,44.499054"
67,"սարմենի փողոց, երևան","Armenia, Yerevan, Sarmen Street","40.191815,44.512726"
70,"մարշալ բաղրամյան պողոտայի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Marshal Baghramyan Avenue 2nd Lane","40.194329,44.498362"
71,"կոմիտասի պողոտա, երևան","Armenia, Yerevan, Komitas Avenue","40.206239,44.50721"
72,"գուսան շերամի փողոց, երևան","Armenia, Yerevan, Gusan Sheram Street","40.179923,44.441427"
74,"գյուլիքևխյան փողոց, երևան","Armenia, Yerevan, Gyulikevkhyan Street","40.186916,44.572527"
76,"բագրևանդի փողոց, երևան","Armenia, Yerevan, Bagrevand Street","40.200363,44.583181"
77,"տիչինայի փողոց, երևան","Armenia, Yerevan, Tychyna Street","40.18609,44.445936"
78,"վահրամ փափազյան փողոց, երևան","Armenia, Yerevan, Vahram Papazyan Street","40.204145,44.502351"
79,"թամանյան փողոց 3, երևան","Armenia, Yerevan, Tamanyan Street, 3","40.189707,44.51499"
80,"վարդանանց փողոց, երևան","Armenia, Yerevan, Vardanants Street","40.174211,44.521143"
82,"հրաչյա աճառյանի փողոց 39/25, երևան","Armenia, Yerevan, Acharyan Street, 39/25","40.224137,44.551677"
83,"artashisian st 88, yerevan","Armenia, Yerevan","40.177642,44.512519"
84,"գյուրջյան փողոց, երևան","Armenia, Yerevan, Gyurjyan Street","40.190871,44.559403"
85,"մոլդովական փողոց, երևան","Armenia, Yerevan, Moldovakan Street","40.19871,44.568511"
87,"արցախի պողոտա, երևան","Armenia, Yerevan, Artsakh Avenue","40.1355,44.510229"
89,"մեսրոպ մաշտոցի պողոտա, երևան","Armenia, Yerevan, Mashtots Avenue","40.182514,44.50969"
94,"մամիկոնյանց փողոց, երևան","Armenia, Yerevan, Mamikonyants Street","40.209352,44.516795"
95,"բրյուսովի փողոց, երևան","Armenia, Yerevan, Bryusov Street","40.167933,44.50439"
97,"բաշինջաղյան փողոց, երևան","Armenia, Yerevan, Bashinjaghyan Street","40.201169,44.468664"
98,"սարյանի փողոց, երևան","Armenia, Yerevan, Saryan Street","40.184877,44.506339"
99,"ֆրունզեի փողոց, երևան","Armenia, Yerevan, Frunze Street","40.147234,44.495487"
102,"քուչակ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Kuchak District","40.219021,44.577117"
103,"էստոնական փողոց, երևան","Armenia, Yerevan, Estonakan Street","40.196003,44.476533"
105,"կոմիտասի պողոտա 59, երևան","Armenia, Yerevan, Komitas Avenue, 59","40.206604,44.521637"
106,"սայաթ-նովայի պողոտա, երևան","Armenia, Yerevan, Sayat-Nova Avenue","40.181859,44.521206"
108,"առնո բաբաջանյան փողոց 75, երևան","Armenia, Yerevan, Arno Babajanyan Street, 75","40.166878,44.439882"
109,"պարոնյան փողոց 11, երևան","Armenia, Yerevan, Paronyan Street, 11","40.179406,44.500868"
110,"վարդանանց փողոց 22, երևան","Armenia, Yerevan, Vardanants Street, 22","40.172488,44.521296"
112,"հալաբյան փողոց, երևան","Armenia, Yerevan, Halabyan Street","40.199964,44.479632"
113,"գարեգին նժդեհի փողոց, երևան","Armenia, Yerevan, Garegin Nzhdeh Street","40.152046,44.497006"
114,"մանթաշյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794"
116,"թամանյան փողոց, երևան","Armenia, Yerevan, Tamanyan Street","40.189279,44.515152"
118,"լվովյան փողոց 31վ, երևան","Armenia, Yerevan, Lvovyan Street, 29","40.196926,44.556214"
122,"ավանեսովի փողոց, երևան","Armenia, Yerevan, Avanesov Street","40.131549,44.528815"
125,"արամ խաչատրյանի փողոց, երևան","Armenia, Ararat Region, Village of Darbnik, Aram Khachatryan Street","40.108798,44.378509"
126,"ծիծեռնակաբերդի խճուղի 1/2, երևան","Armenia, Yerevan, Tsitsernakaberd Highway, 1/2","40.178662,44.489334"
127,"աբելյան փողոց, երևան","Armenia, Yerevan, Abelyan Street","40.199158,44.477"
130,"նաիրի զարյան փողոց, երևան","Armenia, Yerevan, Nairi Zaryan Street","40.20431,44.515502"
131,"հրաչյա քոչարի փողոց, երևան","Armenia, Yerevan, Hrachya Kochar Street","40.201348,44.501821"
132,"ռուբինյանց փողոց 7, երևան","Armenia, Yerevan, Rubinyants Street, 7","40.200915,44.541939"
133,"փավստոս բուզանդի փողոց 7, երևան","Armenia, Yerevan, Pavstos Buzand Street, 7","40.179537,44.512124"
134,"ադմիրալ իսակովի պողոտա 4, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 4","40.17295,44.492909"
135,"ադմիրալ իսակովի պողոտա, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue","40.157229,44.459896"
137,"վիլնյուսի փողոց 21, երևան","Armenia, Yerevan, Vilnius Street, 21","40.172316,44.567802"
139,"մարշալ բաբաջանյանի փողոց, երևան","Armenia, Kotayk Region, Village of Arinj, Marshal Babajanyan 6th Street","40.238507,44.586738"
140,"տիգրան մեծի պողոտա 27a, երևան","Armenia, Yerevan, Tigran Mets Avenue, 27A","40.170069,44.513876"
141,"սիսակյան փողոց, երևան","Armenia, Yerevan, Sisakyan Street","40.192345,44.468026"
142,"ղազար փարպեցու փողոց, երևան","Armenia, Yerevan, Ghazar Parpetsi Street","40.184953,44.510319"
143,"սվաճյան փողոց, երևան","Armenia, Yerevan, Svachyan Street","40.175106,44.445397"
144,"մարգարյան 2-րդ նրբանցք, երևան","Armenia, Yerevan, Margaryan Street 2nd Lane","40.207238,44.471098"
146,"լեփսիուսի փողոց 39, երևան","Armenia, Yerevan, Lepsius Street, 39","40.210468,44.549512"
147,"պարոնյան փողոց, երևան","Armenia, Yerevan, Paronyan Street","40.183692,44.500491"
148,"տպագրիչների փողոց, երևան","Armenia, Yerevan, Tpagrichner Street","40.178014,44.519715"
149,"արամ խաչատրյան փողոց, երևան","Armenia, Yerevan, Aram Khachatryan Street","40.205281,44.498191"
150,"մաշտոցի պողոտա, երևան","Armenia, Yerevan, Mashtots Avenue","40.182514,44.50969"
153,"գալշոյան փողոց, երևան","Armenia, Yerevan, Galshoyan Street","40.182086,44.571152"
