Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,District,Price_USD
1,0,4,4,2.6,33,2,1,2.0,2,Շենգավիթ,53000.0
0,0,5,2,2.7,56,2,1,2.0,1,Կենտրոն,156000.0
1,0,14,1,2.8,69,3,1,1.0,1,Կենտրոն,100000.0
0,0,5,4,2.7,102,4,1,1.5,2,Քանաքեռ-Զեյթուն,111000.0
0,0,5,2,2.8,76,4,1,1.5,0,Արաբկիր,125000.0
0,0,5,4,3.0,91,3,2,0.0,2,Կենտրոն,380000.0
2,1,21,3,3.0,64,2,2,0.0,3,Շենգավիթ,138000.0
1,0,9,6,2.8,41,2,1,2.0,0,Մալաթիա-Սեբաստիա,69000.0
2,0,14,4,2.8,86,4,1,1.0,1,Դավթաշեն,160000.0
2,1,5,3,3.0,53,3,1,4.0,2,Նորք-Մարաշ,130000.0
0,0,4,4,2.75,76,3,1,0.5,0,Քանաքեռ-Զեյթուն,113000.0
2,0,14,8,2.75,92,3,1,4.0,0,Մալաթիա-Սեբաստիա,185000.0
0,0,4,2,3.0,128,4,1,0.5,2,Կենտրոն,360000.0
2,1,16,3,3.0,63,2,1,4.0,2,Քանաքեռ-Զեյթուն,204000.0
0,0,3,2,3.0,27,2,1,3.0,1,Քանաքեռ-Զեյթուն,48000.0
2,1,18,6,3.0,69,3,1,4.0,2,Շենգավիթ,235000.0
1,0,9,5,2.8,94,4,1,2.0,0,Դավթաշեն,135000.0
1,0,9,4,2.75,46,3,1,2.0,1,Ավան,83000.0
2,1,16,15,3.0,102,3,2,0.0,3,Քանաքեռ-Զեյթուն,182000.0
1,0,5,2,2.6,37,1,1,2.0,0,Նոր Նորք,74000.0
0,0,5,5,2.8,51,2,1,2.0,3,Արաբկիր,109000.0
1,0,9,1,2.75,63,2,1,1.5,0,Նոր Նորք,81000.0
1,0,14,9,2.8,92,3,1,2.0,1,Մալաթիա-Սեբաստիա,130000.0
2,1,14,2,3.0,110,3,2,1.0,2,Դավթաշեն,132000.0
1,0,9,6,2.75,74,3,1,2.0,1,Մալաթիա-Սեբաստիա,115000.0
1,0,9,2,2.7,101,4,1,2.0,2,Կենտրոն,184000.0
2,1,7,4,3.0,40,2,1,3.0,1,Կենտրոն,235000.0
1,0,9,5,2.75,90,4,2,2.0,0,Մալաթիա-Սեբաստիա,120000.0
2,1,16,4,3.0,60,2,1,1.5,2,Կենտրոն,150000.0
0,0,5,5,2.8,90,4,1,3.0,2,Կենտրոն,270000.0
1,0,9,6,2.75,73,3,1,1.5,3,Շենգավիթ,90000.0
1,0,9,1,2.7,98,5,1,1.5,0,Նոր Նորք,98000.0
2,1,7,2,3.0,82,3,1,4.0,2,Արաբկիր,245000.0
2,1,15,11,3.0,79,3,2,0.0,2,Դավթաշեն,100000.0
0,0,5,4,2.8,42,1,1,2.0,1,Կենտրոն,123000.0
2,1,6,2,3.0,84,3,1,4.0,2,Կենտրոն,190000.0
0,0,4,2,3.0,42,1,1,0.5,1,Արաբկիր,89000.0
2,1,16,11,3.0,70,3,2,0.0,2,Աջափնյակ,119942.0
0,0,5,5,2.75,77,3,1,1.0,2,Նոր Նորք,85000.0
0,0,5,5,2.75,77,3,1,1.5,2,Էրեբունի,97000.0
1,0,9,1,2.75,50,1,1,1.5,0,Մալաթիա-Սեբաստիա,71000.0
0,0,5,5,3.2,85,3,1,3.0,2,Կենտրոն,140000.0
0,0,5,4,3.2,111,3,2,1.0,2,Կենտրոն,270000.0
1,0,5,5,2.7,33,1,1,0.5,2,Նոր Նորք,52000.0
1,0,16,16,2.7,75,3,1,2.0,2,Կենտրոն,155000.0
1,0,11,3,2.8,40,2,1,4.0,2,Կենտրոն,145000.0
1,0,14,2,3.0,90,3,1,0.5,0,Արաբկիր,120000.0
1,0,10,3,2.75,65,2,2,1.5,1,Արաբկիր,137000.0
1,0,9,5,2.8,85,3,1,2.0,2,Քանաքեռ-Զեյթուն,153000.0
1,0,13,10,2.8,80,3,1,2.0,0,Կենտրոն,174000.0
0,0,5,1,2.8,48,2,1,2.0,1,Շենգավիթ,73000.0
2,1,14,5,3.0,45,2,1,0.0,1,Քանաքեռ-Զեյթուն,80000.0
1,0,16,13,2.8,94,3,2,4.0,3,Նոր Նորք,120000.0
0,0,4,4,2.6,77,3,1,1.0,2,Ավան,84000.0
0,0,5,5,2.8,76,3,1,3.0,1,Աջափնյակ,83000.0
1,0,5,3,2.7,56,2,1,2.0,0,Նոր Նորք,76000.0
2,1,9,5,3.0,130,4,2,2.0,0,Կենտրոն,500000.0
2,1,12,9,3.0,93,3,2,4.0,2,Արաբկիր,235000.0
0,0,5,5,2.7,39,2,1,2.0,1,Արաբկիր,129000.0
2,1,14,5,3.0,56,2,1,1.5,2,Կենտրոն,128000.0
0,0,4,4,3.2,80,3,1,0.5,2,Կենտրոն,295000.0
1,0,9,8,2.75,63,2,2,2.0,0,Մալաթիա-Սեբաստիա,85000.0
1,0,14,11,2.75,101,3,1,1.0,2,Արաբկիր,155000.0
2,1,17,3,3.0,54,2,1,2.0,2,Արաբկիր,173000.0
1,0,4,2,2.75,70,3,1,1.5,3,Աջափնյակ,100000.0
2,1,14,14,3.0,110,3,3,0.0,1,Դավթաշեն,165000.0
0,0,5,2,2.7,45,2,1,1.5,0,Արաբկիր,90000.0
2,1,17,15,3.0,69,2,1,0.0,2,Աջափնյակ,76919.0
1,0,9,6,2.8,96,3,1,4.0,2,Էրեբունի,105000.0
2,1,12,6,3.0,47,2,1,2.0,2,Դավթաշեն,122000.0
1,0,9,6,2.8,50,2,1,2.0,2,Կենտրոն,129000.0
1,0,4,2,2.7,73,3,1,1.5,2,Քանաքեռ-Զեյթուն,99500.0
1,0,9,6,2.75,86,4,2,3.0,3,Մալաթիա-Սեբաստիա,125000.0
2,1,10,9,3.0,80,2,1,3.0,3,Կենտրոն,155000.0
1,0,9,1,2.75,78,2,1,0.5,0,Դավթաշեն,95000.0
0,0,6,2,2.75,108,3,1,0.5,0,Քանաքեռ-Զեյթուն,107000.0
1,0,12,3,2.75,76,3,1,2.0,0,Արաբկիր,150000.0
1,0,14,11,2.75,124,4,1,1.5,3,Աջափնյակ,135000.0
2,1,18,12,3.5,65,2,1,2.0,2,Արաբկիր,195000.0
1,0,16,2,2.75,94,3,1,2.0,0,Դավթաշեն,122000.0
0,0,5,5,2.8,140,5,2,2.0,1,Աջափնյակ,150000.0
1,0,9,8,2.75,66,3,1,2.0,0,Քանաքեռ-Զեյթուն,98000.0
1,0,9,2,2.75,70,2,1,2.0,0,Քանաքեռ-Զեյթուն,123000.0
0,0,5,4,3.2,108,4,1,0.5,3,Կենտրոն,220000.0
0,0,5,3,2.75,100,3,1,0.5,2,Մալաթիա-Սեբաստիա,110000.0
1,1,4,3,3.0,48,2,1,3.0,1,Շենգավիթ,78000.0
0,0,5,3,2.8,130,5,1,3.0,3,Աջափնյակ,160000.0
3,0,4,2,2.5,32,1,1,2.0,2,Քանաքեռ-Զեյթուն,73000.0
1,0,9,1,2.8,75,4,1,2.0,1,Դավթաշեն,140000.0
0,0,5,5,2.75,53,2,1,0.5,2,Նոր Նորք,78000.0
1,0,12,6,2.8,52,2,1,3.0,1,Կենտրոն,154000.0
2,1,17,17,3.0,100,3,2,2.0,3,Մալաթիա-Սեբաստիա,175000.0
0,0,5,5,2.7,84,3,1,0.5,3,Աջափնյակ,102000.0
1,0,9,6,2.7,50,2,1,4.0,1,Կենտրոն,135000.0
1,0,14,1,2.8,55,2,1,3.0,0,Ավան,71500.0
2,1,15,14,3.0,63,3,1,2.0,2,Աջափնյակ,220000.0
2,1,7,5,3.2,58,2,1,0.0,2,Էրեբունի,73660.0
1,0,10,8,2.8,65,3,1,4.0,0,Կենտրոն,203000.0
0,0,5,3,2.75,73,3,1,1.0,2,Արաբկիր,130000.0
1,0,9,1,2.75,78,3,1,1.0,0,Նոր Նորք,98000.0
1,0,14,13,2.8,78,3,1,1.5,1,Շենգավիթ,115000.0
2,1,14,7,3.0,105,3,2,2.0,2,Կենտրոն,210000.0
1,0,14,14,2.75,80,3,2,0.0,0,Մալաթիա-Սեբաստիա,100000.0
0,1,5,2,2.75,77,3,1,0.5,1,Արաբկիր,119000.0
1,0,12,9,2.8,90,3,2,2.0,1,Կենտրոն,290000.0
2,1,12,7,3.0,83,3,1,2.0,2,Դավթաշեն,160000.0
2,1,10,4,3.0,128,4,2,2.0,2,Կենտրոն,510000.0
1,0,9,6,2.75,76,3,1,2.0,2,Դավթաշեն,115000.0
1,0,9,1,2.75,105,3,2,2.0,3,Շենգավիթ,125000.0
0,0,5,1,2.75,66,3,1,2.0,1,Արաբկիր,120000.0
0,0,5,3,2.7,52,2,1,1.5,2,Էրեբունի,85000.0
1,0,9,6,2.8,95,3,1,3.0,3,Կենտրոն,250000.0
0,0,4,2,2.6,128,4,1,1.5,2,Քանաքեռ-Զեյթուն,165000.0
2,1,14,7,3.0,58,2,1,0.0,1,Մալաթիա-Սեբաստիա,107000.0
2,1,23,12,3.0,87,3,1,2.0,2,Մալաթիա-Սեբաստիա,300000.0
2,1,7,2,3.0,82,3,1,4.0,3,Արաբկիր,255000.0
2,1,8,8,3.2,100,3,2,0.0,3,Արաբկիր,220000.0
2,1,12,8,3.0,111,4,2,0.0,3,Արաբկիր,172000.0
2,1,16,12,3.0,61,2,1,4.0,2,Արաբկիր,180000.0
1,0,9,9,2.7,44,1,1,0.5,0,Դավթաշեն,63500.0
2,1,12,10,3.0,54,3,1,4.0,1,Արաբկիր,189000.0
0,0,5,5,2.7,65,3,1,1.5,2,Կենտրոն,110000.0
0,1,6,4,3.5,87,4,2,0.0,2,Կենտրոն,230000.0
1,0,9,2,2.6,37,3,1,2.0,1,Շենգավիթ,57500.0
1,0,14,2,2.8,85,4,2,4.0,2,Մալաթիա-Սեբաստիա,127000.0
0,0,5,4,2.7,62,2,1,1.5,3,Նոր Նորք,83000.0
2,1,11,9,2.8,85,3,2,3.0,3,Կենտրոն,367000.0
1,0,10,1,2.8,96,3,1,1.5,2,Շենգավիթ,125000.0
2,1,18,6,3.0,57,2,1,2.0,2,Կենտրոն,260000.0
2,1,7,2,3.0,51,2,1,2.0,1,Արաբկիր,123000.0
1,0,12,7,2.7,90,3,1,2.0,1,Նոր Նորք,140000.0
0,0,5,3,2.75,64,3,1,2.0,2,Մալաթիա-Սեբաստիա,102000.0
2,1,4,3,3.0,57,3,1,2.0,2,Նոր Նորք,124000.0
1,0,16,10,2.75,136,4,2,0.5,3,Կենտրոն,205000.0
0,0,7,6,2.8,72,2,1,1.0,2,Արաբկիր,133000.0
2,1,16,7,2.8,82,3,2,0.0,2,Արաբկիր,163000.0
1,0,10,5,3.0,80,3,1,2.0,1,Կենտրոն,245000.0
1,0,9,3,2.8,98,3,1,0.5,2,Դավթաշեն,120000.0
0,0,5,4,3.2,38,1,1,3.0,2,Կենտրոն,169000.0
1,0,9,9,2.7,90,4,1,0.5,0,Դավթաշեն,103000.0
1,0,9,9,2.75,80,3,1,3.0,0,Մալաթիա-Սեբաստիա,93000.0
2,1,18,11,3.0,92,4,2,0.0,1,Արաբկիր,172000.0
2,1,17,9,3.0,140,4,2,0.0,2,Արաբկիր,340000.0
1,0,9,8,2.8,114,4,1,1.5,2,Դավթաշեն,160000.0
3,0,5,3,2.75,65,3,1,2.0,1,Նոր Նորք,102000.0
0,0,5,3,2.75,77,3,1,0.5,2,Արաբկիր,122000.0
1,0,10,5,2.75,48,2,1,2.0,1,Կենտրոն,118000.0
0,0,5,4,2.75,54,2,1,2.0,2,Արաբկիր,100000.0
0,0,5,1,2.8,80,3,1,0.5,3,Նուբարաշեն,78223.0
1,0,9,9,2.75,32,2,1,4.0,1,Մալաթիա-Սեբաստիա,42000.0
1,0,13,9,2.75,75,4,1,2.0,1,Քանաքեռ-Զեյթուն,119000.0
2,1,17,11,3.0,100,3,2,0.0,3,Մալաթիա-Սեբաստիա,170000.0
1,0,9,1,2.75,47,3,1,1.5,1,Կենտրոն,107000.0
0,0,5,5,3.2,38,2,1,3.0,2,Արաբկիր,75000.0
0,0,5,3,2.8,56,2,1,0.5,2,Արաբկիր,105000.0
1,0,16,15,2.75,61,2,2,0.5,0,Աջափնյակ,80000.0
0,0,9,6,2.8,70,2,1,0.5,0,Մալաթիա-Սեբաստիա,90000.0
1,0,9,5,2.75,70,3,1,3.0,0,Աջափնյակ,120000.0
0,0,4,2,2.6,38,1,1,1.5,0,Աջափնյակ,64000.0
0,0,5,4,2.75,43,1,1,0.5,0,Ավան,70000.0
2,0,16,16,2.7,80,3,2,2.0,2,Աջափնյակ,95000.0
0,1,4,1,2.8,73,3,1,3.0,1,Աջափնյակ,107000.0
1,0,10,5,2.8,95,4,2,1.0,2,Կենտրոն,169000.0
1,0,9,1,2.75,70,3,1,3.0,1,Կենտրոն,218000.0
1,0,16,2,2.75,93,3,2,0.5,0,Մալաթիա-Սեբաստիա,102000.0
0,0,5,4,3.2,86,3,2,1.5,2,Կենտրոն,275000.0
0,0,5,3,2.75,78,3,1,0.5,2,Արաբկիր,115000.0
0,0,4,4,2.75,61,3,1,0.5,0,Աջափնյակ,75000.0
1,0,9,9,2.75,45,3,1,0.5,1,Կենտրոն,76500.0
0,0,5,3,3.2,65,2,1,2.0,2,Արաբկիր,120000.0
0,0,5,4,3.0,70,2,1,2.0,2,Արաբկիր,155000.0
0,0,9,6,2.7,66,2,1,1.0,2,Նոր Նորք,85000.0
0,0,4,2,3.0,137,5,1,2.0,2,Էրեբունի,130000.0
0,0,9,6,2.8,90,3,2,4.0,2,Կենտրոն,215000.0
2,1,16,12,3.0,92,3,1,3.0,2,Դավթաշեն,180000.0
2,1,16,4,3.0,71,2,1,4.0,2,Արաբկիր,170000.0
2,1,16,15,3.0,41,2,1,0.0,2,Կենտրոն,88652.0
0,0,3,3,2.75,118,5,1,2.0,2,Մալաթիա-Սեբաստիա,103000.0
2,1,16,11,3.0,94,2,1,4.0,2,Արաբկիր,275000.0
2,1,18,4,3.0,90,3,1,3.0,3,Արաբկիր,185000.0
0,0,5,3,2.8,59,2,1,2.0,2,Կենտրոն,235000.0
2,1,18,5,3.0,39,1,1,3.0,2,Կենտրոն,210000.0
0,0,5,5,2.8,120,3,1,1.0,2,Արաբկիր,140000.0
2,1,12,12,3.0,80,2,1,0.0,2,Արաբկիր,139000.0
2,1,16,11,3.0,107,3,1,0.0,2,Կենտրոն,430000.0
1,0,9,1,2.75,66,2,1,4.0,1,Արաբկիր,119000.0
0,0,8,6,2.8,94,3,1,1.0,1,Արաբկիր,155000.0
1,0,10,7,2.75,93,3,2,0.5,2,Կենտրոն,250000.0
1,0,13,11,2.8,54,2,1,1.5,1,Կենտրոն,93000.0
1,0,9,6,2.8,90,4,1,1.5,3,Քանաքեռ-Զեյթուն,112000.0
0,0,5,4,2.8,50,2,1,0.5,0,Էրեբունի,70000.0
1,0,15,3,3.0,83,2,1,3.0,1,Կենտրոն,360000.0
1,0,13,2,2.8,80,2,1,0.5,2,Կենտրոն,137000.0
2,1,16,6,3.0,93,3,1,0.0,3,Դավթաշեն,175000.0
1,0,9,6,3.0,90,3,1,2.0,0,Քանաքեռ-Զեյթուն,108000.0
2,1,12,7,3.0,67,3,1,2.0,1,Աջափնյակ,127000.0
2,1,13,9,3.0,58,2,1,0.0,2,Կենտրոն,155000.0
0,0,5,1,2.7,62,2,1,1.0,0,Կենտրոն,180000.0
1,0,9,2,2.8,68,2,1,2.0,1,Շենգավիթ,105000.0
0,0,5,4,3.0,74,3,1,2.0,0,Աջափնյակ,110000.0
2,1,6,3,3.0,69,2,1,0.0,2,Արաբկիր,170000.0
0,0,4,2,3.2,46,2,1,0.5,0,Կենտրոն,110000.0
0,0,5,5,2.75,54,2,1,0.5,3,Նոր Նորք,76000.0
2,1,8,2,3.0,83,3,1,2.0,2,Արաբկիր,178000.0
1,0,11,3,2.8,68,3,1,2.0,0,Կենտրոն,245000.0
0,0,8,6,2.75,93,3,2,2.0,2,Կենտրոն,229000.0
1,0,9,2,2.8,55,2,1,0.0,0,Մալաթիա-Սեբաստիա,67500.0
0,0,5,5,2.75,60,2,1,1.5,0,Քանաքեռ-Զեյթուն,87000.0
0,0,5,2,2.8,40,2,1,3.0,1,Արաբկիր,107000.0
1,0,12,10,3.0,40,2,1,2.0,1,Կենտրոն,152000.0
1,0,14,6,2.8,83,3,1,1.5,0,Մալաթիա-Սեբաստիա,105000.0
0,0,5,5,2.75,78,3,1,2.0,0,Շենգավիթ,109000.0
2,1,15,14,3.2,50,2,1,4.0,3,Աջափնյակ,125000.0
1,0,16,11,2.75,43,2,1,2.0,1,Աջափնյակ,69000.0
2,1,12,9,3.0,67,2,1,2.0,2,Արաբկիր,145000.0
1,0,14,2,2.8,90,3,1,0.5,0,Արաբկիր,120000.0
2,1,5,4,3.0,114,4,2,4.0,2,Դավթաշեն,220000.0
1,0,16,5,2.75,90,3,1,0.5,0,Կենտրոն,160000.0
0,0,3,2,3.0,100,3,2,4.0,2,Կենտրոն,300000.0
1,0,9,1,2.75,80,3,2,2.0,0,Մալաթիա-Սեբաստիա,158000.0
2,1,14,3,3.0,95,2,2,3.0,3,Քանաքեռ-Զեյթուն,185000.0
2,1,16,16,3.0,67,3,1,0.0,2,Նոր Նորք,103000.0
1,0,12,4,2.7,89,3,1,2.0,1,Արաբկիր,165000.0
1,0,9,4,2.8,76,2,1,2.0,0,Կենտրոն,160000.0
2,1,14,13,3.0,44,2,1,0.0,2,Քանաքեռ-Զեյթուն,90000.0
1,0,14,5,2.8,95,3,1,0.5,0,Մալաթիա-Սեբաստիա,115000.0
0,0,5,5,2.5,56,2,1,2.0,2,Արաբկիր,102000.0
2,1,5,2,3.0,117,4,2,2.0,2,Կենտրոն,380000.0
2,1,12,4,3.0,39,2,1,2.0,1,Աջափնյակ,99000.0
0,0,5,4,2.8,100,3,1,1.5,0,Արաբկիր,137000.0
0,0,4,4,2.75,30,1,1,0.0,2,Շենգավիթ,52000.0
1,0,16,3,2.75,62,1,1,2.0,0,Քանաքեռ-Զեյթուն,85000.0
2,1,14,11,2.8,69,3,1,4.0,1,Դավթաշեն,138000.0
0,0,5,5,2.75,90,4,1,3.0,0,Էրեբունի,128000.0
0,0,5,5,3.0,143,4,2,2.0,2,Կենտրոն,700000.0
2,1,14,2,3.0,110,3,2,2.0,2,Քանաքեռ-Զեյթուն,257000.0
0,0,5,3,3.0,51,2,1,2.0,1,Էրեբունի,88500.0
0,0,5,4,2.8,70,3,1,3.0,2,Աջափնյակ,90000.0
1,0,16,9,2.75,51,3,1,4.0,2,Դավթաշեն,93000.0
0,0,5,4,3.5,67,2,1,3.0,1,Արաբկիր,142000.0
1,0,5,5,2.7,37,1,1,1.0,0,Նոր Նորք,65000.0
0,0,4,1,2.7,70,3,1,2.0,0,Աջափնյակ,130000.0
2,1,3,1,3.0,66,3,1,3.0,1,Կենտրոն,150000.0
2,1,16,7,3.0,56,2,1,0.0,2,Մալաթիա-Սեբաստիա,75094.0
2,1,9,7,3.0,48,2,1,0.0,1,Արաբկիր,136000.0
1,0,16,2,2.8,103,3,1,2.0,0,Կենտրոն,170000.0
0,0,4,3,3.0,115,3,1,2.0,3,Շենգավիթ,180000.0
2,1,16,12,2.8,58,2,1,2.0,3,Արաբկիր,155000.0
1,0,12,6,2.75,51,2,1,2.0,2,Կենտրոն,155000.0
1,0,9,6,2.8,90,4,1,2.0,0,Մալաթիա-Սեբաստիա,117000.0
1,0,9,2,2.75,115,4,1,4.0,2,Դավթաշեն,200000.0
1,0,9,8,2.75,90,4,2,3.0,3,Մալաթիա-Սեբաստիա,128000.0
1,0,5,1,2.6,64,2,1,2.0,1,Նոր Նորք,95000.0
1,0,14,14,2.8,55,1,1,0.0,0,Շենգավիթ,64000.0
1,0,9,3,2.8,46,1,1,0.5,0,Մալաթիա-Սեբաստիա,67000.0
1,0,9,3,2.8,42,2,1,0.5,1,Արաբկիր,69000.0
0,0,5,1,3.0,65,2,1,0.5,3,Կենտրոն,210000.0
1,0,4,2,2.6,30,1,1,3.0,2,Նոր Նորք,60000.0
1,0,12,9,2.75,80,2,1,0.5,3,Կենտրոն,225000.0
0,0,5,5,2.7,120,4,1,1.5,2,Քանաքեռ-Զեյթուն,140000.0
0,0,5,5,3.0,80,4,2,2.0,2,Ավան,133000.0
0,0,4,4,3.2,100,3,1,2.0,3,Կենտրոն,423000.0
0,0,4,2,3.2,111,3,1,2.0,2,Կենտրոն,550000.0
0,0,5,3,2.75,38,1,1,0.5,0,Շենգավիթ,63000.0
0,0,5,3,2.75,77,3,1,1.5,2,Քանաքեռ-Զեյթուն,115000.0
0,0,5,5,2.8,53,2,1,1.5,2,Աջափնյակ,80000.0
1,0,4,2,2.5,75,3,1,3.0,3,Քանաքեռ-Զեյթուն,94000.0
1,0,9,6,2.75,60,2,1,2.0,2,Էրեբունի,92000.0
2,1,18,8,3.0,63,2,1,2.0,2,Արաբկիր,164268.0
3,0,4,3,2.5,65,3,1,2.0,0,Քանաքեռ-Զեյթուն,120000.0
1,0,9,1,2.8,71,4,1,3.0,1,Քանաքեռ-Զեյթուն,125000.0
1,0,16,16,2.75,77,3,1,1.5,3,Արաբկիր,105000.0
2,1,4,3,3.0,132,4,2,3.0,3,Արաբկիր,220000.0
0,1,6,2,2.8,107,4,1,2.0,3,Շենգավիթ,165000.0
1,0,9,9,2.8,66,3,1,2.0,0,Քանաքեռ-Զեյթուն,83000.0
2,0,14,3,2.75,103,3,2,2.0,2,Նոր Նորք,120000.0
0,0,5,2,2.75,76,3,1,1.5,0,Արաբկիր,130000.0
1,0,9,1,2.8,106,3,2,2.0,3,Դավթաշեն,147000.0
1,0,14,11,2.8,93,3,2,1.5,1,Կենտրոն,160000.0
0,0,5,4,2.75,53,2,1,3.0,2,Արաբկիր,117000.0
0,0,5,3,3.2,103,3,1,2.0,2,Կենտրոն,380000.0
1,0,4,3,2.75,74,3,1,1.5,2,Քանաքեռ-Զեյթուն,86000.0
0,0,4,1,2.8,30,1,1,3.0,1,Աջափնյակ,52000.0
1,0,5,1,2.7,56,2,1,1.5,0,Նոր Նորք,70000.0
1,0,9,6,2.75,91,3,1,2.0,0,Շենգավիթ,120000.0
2,0,9,5,2.75,78,3,1,0.5,1,Կենտրոն,168000.0
1,0,12,4,2.75,75,3,1,3.0,0,Արաբկիր,153000.0
0,0,3,3,3.2,72,2,2,1.0,0,Շենգավիթ,98000.0
0,1,5,2,3.0,100,3,2,3.0,2,Կենտրոն,195000.0
1,0,10,4,2.75,92,3,1,0.5,3,Շենգավիթ,104000.0
0,0,5,2,2.8,82,3,1,0.5,2,Արաբկիր,153000.0
0,0,5,1,2.5,64,3,1,2.0,1,Աջափնյակ,83000.0
0,0,5,5,3.0,95,3,2,4.0,1,Կենտրոն,235000.0
1,0,16,8,2.75,97,3,2,2.0,0,Աջափնյակ,100000.0
0,0,6,3,2.5,18,1,1,0.5,0,Շենգավիթ,31000.0
1,0,16,16,2.75,79,3,1,4.0,2,Կենտրոն,140000.0
2,1,12,10,3.0,80,3,1,2.0,1,Կենտրոն,325000.0
0,0,5,3,3.0,78,3,2,2.0,2,Արաբկիր,160000.0
2,1,19,11,3.0,67,3,1,2.0,2,Դավթաշեն,182520.0
0,0,5,2,2.75,60,2,1,2.0,0,Կենտրոն,260000.0
1,0,9,6,2.8,85,3,1,2.0,2,Մալաթիա-Սեբաստիա,115000.0
0,0,5,2,2.8,68,3,1,3.0,2,Արաբկիր,120000.0
2,1,12,8,3.0,55,2,1,2.0,2,Արաբկիր,137000.0
0,0,5,3,2.75,72,3,1,2.0,1,Արաբկիր,130000.0
0,0,5,5,2.8,87,3,1,0.5,2,Արաբկիր,125000.0
2,1,11,10,3.0,120,4,2,3.0,3,Քանաքեռ-Զեյթուն,199900.0
0,0,5,4,2.7,45,2,1,0.5,0,Արաբկիր,85000.0
0,0,5,5,2.6,42,1,1,2.0,1,Արաբկիր,90000.0
1,0,16,8,2.8,97,4,1,2.0,2,Նոր Նորք,105000.0
1,0,14,9,2.8,90,3,2,2.0,0,Մալաթիա-Սեբաստիա,112000.0
0,0,5,2,2.8,43,1,1,0.5,1,Նոր Նորք,68000.0
0,0,4,3,3.2,60,3,1,4.0,2,Կենտրոն,212000.0
1,0,9,8,2.75,40,1,1,0.0,1,Արաբկիր,75000.0
2,1,8,6,3.0,99,3,2,2.0,3,Արաբկիր,220000.0
0,0,5,5,2.8,95,3,1,2.0,2,Արաբկիր,125000.0
1,0,9,1,2.75,93,4,1,2.0,0,Աջափնյակ,120000.0
2,1,19,16,3.2,69,2,1,2.0,2,Շենգավիթ,190000.0
2,1,13,1,2.8,37,2,1,2.0,1,Աջափնյակ,72000.0
1,0,9,3,2.8,87,3,1,0.5,1,Մալաթիա-Սեբաստիա,93000.0
0,0,3,1,2.8,92,3,1,2.0,2,Արաբկիր,190000.0
0,0,5,2,2.75,56,2,1,3.0,2,Արաբկիր,117000.0
0,0,4,4,2.75,76,3,1,0.5,0,Քանաքեռ-Զեյթուն,112000.0
1,0,9,1,2.8,80,3,1,4.0,1,Ավան,135000.0
2,1,14,5,3.0,36,1,1,1.5,1,Կենտրոն,87000.0
1,0,5,4,2.6,52,2,1,3.0,0,Նոր Նորք,83000.0
0,0,5,4,2.75,83,3,1,0.5,0,Շենգավիթ,83000.0
1,0,9,1,3.0,51,2,1,3.0,1,Շենգավիթ,67000.0
0,0,5,5,2.8,62,2,1,3.0,0,Նոր Նորք,83000.0
1,0,9,5,2.8,82,3,1,0.5,3,Մալաթիա-Սեբաստիա,101000.0
2,1,5,2,3.0,145,3,2,2.0,2,Կենտրոն,340000.0
2,1,10,8,3.0,96,3,1,3.0,1,Կենտրոն,360000.0
2,0,15,5,2.8,84,3,1,1.5,3,Աջափնյակ,85524.0
0,0,5,1,3.2,64,3,1,4.0,0,Արաբկիր,172000.0
2,1,17,4,3.0,74,3,2,1.0,2,Դավթաշեն,103000.0
0,0,5,5,2.75,95,3,1,2.0,2,Արաբկիր,133000.0
2,1,18,5,3.0,58,2,1,0.0,2,Ավան,90478.0
0,0,4,3,3.2,51,3,1,4.0,1,Շենգավիթ,135000.0
2,0,9,5,2.75,92,4,2,1.5,0,Մալաթիա-Սեբաստիա,120000.0
1,1,9,7,2.8,64,3,1,2.0,1,Էրեբունի,130371.0
0,0,5,5,3.5,97,3,2,4.0,1,Կենտրոն,265000.0
1,0,9,2,2.8,100,3,2,2.0,0,Արաբկիր,200000.0
2,1,10,8,3.0,126,3,2,3.0,2,Արաբկիր,350000.0
0,0,5,2,3.0,139,3,2,2.0,2,Կենտրոն,450000.0
0,0,4,3,2.7,46,2,1,0.5,2,Աջափնյակ,62000.0
1,0,11,8,2.75,67,2,1,1.5,3,Կենտրոն,167000.0
1,0,9,5,2.8,72,3,1,1.0,0,Մալաթիա-Սեբաստիա,85000.0
2,1,6,6,3.0,38,2,1,3.0,1,Աջափնյակ,72000.0
1,0,9,8,2.8,78,3,1,1.0,0,Մալաթիա-Սեբաստիա,120000.0
1,0,12,2,2.75,96,4,1,2.0,2,Էրեբունի,150000.0
1,0,9,4,2.75,93,3,2,0.5,3,Մալաթիա-Սեբաստիա,95000.0
2,1,15,11,3.0,98,3,2,3.0,2,Քանաքեռ-Զեյթուն,235000.0
2,1,14,11,3.0,76,3,1,2.0,2,Կենտրոն,185000.0
2,1,17,12,3.0,46,2,1,1.0,2,Դավթաշեն,93000.0
1,0,14,3,2.8,120,4,1,2.0,2,Աջափնյակ,128000.0
2,1,5,3,3.2,138,4,3,0.0,2,Նորք-Մարաշ,275000.0
0,0,4,4,3.2,49,2,1,2.0,1,Կենտրոն,120000.0
2,1,9,8,3.0,80,3,2,2.0,2,Կենտրոն,400000.0
