Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,District,Price_USD
1,0,10,5,2.75,40,1,1,1.5,0,Շենգավիթ,65000.0
0,0,7,3,2.75,54,2,1,2.0,2,Կենտրոն,158000.0
2,1,16,8,3.0,80,3,1,0.0,2,Արաբկիր,125000.0
1,0,9,8,2.75,67,2,2,2.0,0,Մալաթիա-Սեբաստիա,85000.0
1,0,5,4,2.8,74,3,1,2.0,0,Աջափնյակ,110000.0
2,0,7,3,2.7,125,3,1,1.0,2,Կենտրոն,285000.0
1,0,9,6,2.75,90,3,1,2.0,0,Շենգավիթ,106000.0
2,1,20,18,3.0,113,3,2,0.0,2,Արաբկիր,220000.0
2,1,18,3,3.5,71,2,1,0.0,2,Արաբկիր,135000.0
1,0,9,1,2.8,64,3,1,4.0,1,Ավան,135000.0
0,0,4,1,2.8,72,3,1,2.0,1,Աջափնյակ,116000.0
1,0,11,7,2.75,41,2,1,0.5,0,Կենտրոն,107000.0
2,1,18,12,3.2,120,4,2,0.0,2,Արաբկիր,240000.0
1,0,12,9,2.75,85,3,1,0.5,0,Կենտրոն,290000.0
2,1,14,14,3.0,142,3,1,1.5,2,Քանաքեռ-Զեյթուն,227000.0
1,0,9,5,2.75,75,3,1,2.0,1,Մալաթիա-Սեբաստիա,122000.0
0,0,3,2,3.0,76,2,1,0.5,1,Կենտրոն,155000.0
1,0,11,3,2.75,40,2,1,1.5,1,Կենտրոն,105000.0
1,0,16,16,2.75,87,3,1,1.5,0,Աջափնյակ,90000.0
2,1,16,7,3.0,70,2,1,0.0,2,Աջափնյակ,135000.0
0,0,5,5,3.0,68,2,1,1.0,0,Շենգավիթ,93000.0
0,0,5,3,2.8,67,3,1,2.0,1,Դավթաշեն,118000.0
0,0,6,4,2.7,70,3,1,2.0,2,Կենտրոն,200000.0
0,0,4,3,2.8,125,4,1,0.5,2,Կենտրոն,360000.0
0,0,4,4,3.0,87,3,1,3.0,3,Կենտրոն,180000.0
0,0,5,5,2.7,83,3,1,2.0,2,Նոր Նորք,134000.0
2,1,8,8,3.0,68,3,1,3.0,0,Նոր Նորք,110000.0
0,0,5,5,2.75,93,3,2,4.0,2,Էրեբունի,115000.0
1,0,14,6,2.75,85,3,2,2.0,0,Մալաթիա-Սեբաստիա,118000.0
0,0,9,2,2.8,67,3,1,3.0,0,Մալաթիա-Սեբաստիա,147000.0
2,1,16,12,3.2,84,3,1,2.0,2,Մալաթիա-Սեբաստիա,230000.0
2,1,16,14,3.0,66,2,1,0.0,2,Աջափնյակ,150000.0
1,0,9,3,2.75,45,1,1,2.0,1,Կենտրոն,125000.0
0,0,5,2,3.0,81,3,2,0.5,0,Արաբկիր,140000.0
0,0,5,3,3.0,71,3,1,4.0,3,Արաբկիր,165000.0
0,0,5,4,3.0,45,2,1,1.5,0,Արաբկիր,82000.0
1,0,10,9,2.75,55,3,1,4.0,0,Քանաքեռ-Զեյթուն,95000.0
2,0,9,6,2.75,67,2,1,2.0,1,Մալաթիա-Սեբաստիա,115000.0
1,0,9,6,2.8,87,3,1,2.0,2,Մալաթիա-Սեբաստիա,117000.0
1,0,9,4,2.8,85,3,1,2.0,2,Մալաթիա-Սեբաստիա,140000.0
1,0,9,3,2.75,58,2,1,4.0,0,Նոր Նորք,105000.0
